76,200009.2876,38395,-1.55,-3.15,1.36,63.26,63,0,10,1
77,200009.4208,38496,-0.15,-2.68,2.42,65.08,65,0,10,1
78,200009.4562,38597,-0.16,-2.1,3.19,67.08,67,0,10,1
79,200009.5826,38691,3.09,-1.37,3.24,64.56,65,2,10,1
80,200009.71,38791,0.93,-2.31,3.32,70.18,70,0,10,1
81,200009.7543,38897,-0.83,-3.69,4.15,72.06,72,0,10,1
82,200009.886,38997,-3.08,-3.49,4.1,69.9,70,2,10,1
83,200010.005,39097,-0.96,-2.18,3.5,69.52,70,3,10,1
84,200010.0621,39197,-2.03,-2.85,3.57,75.16,75,1,10,1
85,200010.1839,39297,-3.24,-1,3.57,70.6,71,4,10,1
86,200010.3069,39394,-2.23,-2.79,3.41,80.26,80,0,10,1
87,200010.3539,39497,-0.73,-5.15,2.96,75.84,76,3,10,1
88,200010.4749,39592,-1.11,-3.79,3.44,83.78,84,0,10,1
89,200010.5978,39691,1.28,-2.86,3.38,81.52,82,2,10,1
90,200010.6571,39793,-0.81,-1.63,2.4,87.3,87,0,10,1
91,200010.8331,39897,-0.37,2.79,2.29,81.1,81,4,10,1
92,200010.8943,39994,-1.73,-0.76,2.07,86.68,87,2,10,1
93,200010.9547,40096,-2.02,-2.14,2.3,92.58,93,-1,10,1
94,200011.0862,40197,-2.1,-1.46,2.71,92.5,93,1,10,1
95,200011.2089,40296,-0.78,-0.7,2.69,94.18,94,1,10,1
96,200011.2614,40397,0.51,1.71,2.71,91.8,92,3,10,1
97,200011.381,40493,1.92,0.87,2.45,93.32,93,3,10,1
98,200011.5066,40591,0.38,0.64,2.73,98.98,99,1,10,1
99,200011.5636,40692,-4.28,-4.17,2.8,102.16,102,-1,10,1
100,200011.6803,40798,-5.35,-4.58,2.06,102.06,102,1,10,1
101,200011.7968,40898,-7.07,-4.5,3.05,95.52,96,5,10,1
102,200011.8626,40998,-3.55,-5.42,3.1,94.46,94,6,10,1
103,200011.9721,41098,-4.27,-6,2.02,97.58,98,5,10,1
104,200012.0928,41198,-2.69,-5.04,2.28,107.04,107,1,10,1
105,200012.1507,41293,-2.88,-6.4,3.13,102.36,102,4,10,1
106,200012.2965,41398,-3.66,-4.27,3.15,99.34,99,6,10,1
107,200012.4035,41494,-5.64,-9.94,2.64,104.22,104,4,10,1
108,200012.4634,41596,-5.35,-7.56,2.1,107.54,108,3,10,1
109,200012.5902,41698,-3.49,-6.54,2.39,106.92,107,4,10,1
110,200012.7049,41796,-4.06,-6.77,3.68,99.66,100,8,10,1
111,200012.7614,41897,-5.04,-9.02,2.57,108.48,108,4,10,1
112,200012.874,41996,-6.05,-8.98,1.93,111.88,112,3,10,1
113,200013.0061,42091,-2.43,-7.49,3.47,100.8,101,9,10,1
114,200013.0622,42197,-2.94,-5.65,2.66,103.36,103,8,10,1
115,200013.1766,42297,-8,-4.84,1.36,120.7,121,0,10,1
116,200013.3052,42394,-12.1,-7,3.76,103.86,104,9,10,1
117,200013.3597,42496,-10.54,-5.86,2.76,97.64,98,12,10,1
