"128,142601.8482,2631824,-1.147,2.039,176.468,8190"
"129,142602.0267,2631925,-1.144,2.026,176.510,8190"
"130,142602.0933,2632023,-1.147,2.019,176.536,8190"
"131,142602.1554,2632123,-1.155,2.003,176.505,8190"
"132,142602.2660,2632216,-1.149,2.005,176.422,8190"
"133,142602.3991,2632324,-1.153,2.000,176.388,8190"
"134,142602.4498,2632425,-1.151,2.042,176.330,8190"
"135,142602.6239,2632525,-1.160,2.040,176.333,8190"
"136,142602.6917,2632624,-1.157,2.034,176.326,8190"
"137,142602.8150,2632720,-1.155,2.011,176.274,8190"
"138,142602.8759,2632823,-1.159,2.016,176.230,8190"
"139,142602.9884,2632924,-1.156,1.993,176.176,8190"
"140,142603.0495,2633026,-1.154,1.999,175.968,8190"
"141,142603.2246,2633126,-1.154,2.017,175.914,8190"
"142,142603.2932,2633220,-1.153,1.980,175.932,8190"
"143,142603.4766,2633322,-1.156,1.972,175.691,8190"
"144,142603.5875,2633525,-1.159,2.024,175.544,8190"
"145,142603.6487,2633626,-1.152,2.022,175.522,8190"
"146,142603.8276,2633725,-1.150,2.002,175.480,8190"
"147,142603.8921,2633823,-1.152,1.974,175.401,8190"
"148,142603.9538,2633923,-1.147,1.989,175.324,8190"
"149,142604.0752,2634025,-1.143,2.003,175.285,8190"
"150,142604.1872,2634120,-1.147,1.976,175.212,8190"
"151,142604.2494,2634220,-1.153,2.001,175.162,8190"
"152,142604.4257,2634323,-1.152,2.003,175.135,8190"
"153,142604.4910,2634421,-1.155,1.994,175.106,8190"
"154,142604.5514,2634522,-1.156,1.976,175.044,8190"
"155,142604.6728,2634623,-1.141,1.976,175.012,8190"
"156,142604.7939,2634724,-1.135,1.989,174.955,8190"
"157,142604.8547,2634821,-1.141,2.005,174.937,8190"
"158,142605.0844,2634925,-1.137,2.017,175.001,8190"
"159,142605.0973,2635024,-1.138,2.030,175.042,8190"
"160,142605.2080,2635129,-1.144,2.014,175.075,8190"
"161,142605.2682,2635217,-1.144,2.008,175.110,8190"
"162,142605.3898,2635324,-1.152,2.020,175.181,8190"
